"","ecage26","ecsex99","marst26","mjacg26","immst15","pvreg25","dwtenr25","mortg25","multj28","alhrp28","mtlswk28","yrxfte11","clwkr1","prmjb1","fllprt1","nocg2e6","imphwe1","penpln1","uncoll1","n07c3g10","pubpv10","cqpc42","rppc42","udpd42","wgsal42","hleveg18"
"1",53,2,1,1,7,10,1,2,2,2086,999,32,1,1,1,5,24,2,3,12,1,1750,2800,450,40000,9
"2",53,1,1,1,7,10,1,2,2,3129,999,19.3311315269217,1,1,1,3,37.44,2,3,15,2,2300,0,0,105000,6
"3",26,2,1,4,7,10,1,1,2,697,999,19.3311315269217,1,1,9,7,33,1,1,12,1,1500,2200,400,32000,11
"4",55,2,1,1,7,10,1,1,2,2086,999,35,1,1,1,12,15,2,3,6,2,1350,550,125,33000,10
"5",57,1,1,1,7,10,1,1,2,2086,999,35,1,1,1,6,25.24,1,1,16,1,2100,3800,825,60000,9
"6",21,1,6,2,7,10,1,1,2,156,999,1,1,2,2,11,10,2,3,13,1,675,0,0,17000,8
"7",37,2,1,1,7,10,1,1,2,1943,999,15,1,1,1,4,15.69,1,3,9,2,1500,525,0,34000,9
"8",38,1,1,4,7,10,1,1,2,0,21,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"9",48,1,1,1,7,10,1,1,2,1955,999,30,1,1,1,9,25.6,1,1,12,1,2200,4200,625,57500,10
"10",46,2,1,1,7,10,1,1,2,1955,999,29,1,1,1,12,76.8,1,3,6,2,2600,0,300,135000,11
"11",17,2,6,2,7,10,1,1,2,0,14,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"12",17,2,6,2,7,10,1,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"13",72,2,1,3,7,10,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,75,150,0,9
"14",75,1,1,3,7,10,1,2,2,1344.26571978103,999,45,1,9,9,99,999.99,2,3,99,9,0,0,0,0,10
"15",80,1,1,3,7,10,1,2,2,1344.26571978103,999,34,1,9,9,99,999.99,2,3,99,9,0,0,0,0,10
"16",68,2,1,3,7,10,1,2,2,0,44,10,1,9,9,99,999.99,2,3,99,9,0,75,50,0,9
"17",23,2,6,1,7,10,2,1,2,1424,999,2,1,1,1,17,10.25,2,3,15,2,550,0,0,14000,9
"18",51,2,1,1,7,10,1,1,2,1955,999,23,1,1,1,7,38.31,1,1,12,1,2600,5250,1500,82500,9
"19",50,1,1,1,7,10,1,1,2,1955,999,26,1,1,1,10,46.08,1,1,11,1,2300,7000,1300,90000,11
"20",17,1,6,2,7,10,1,1,2,313,999,0,1,1,2,9,10,2,3,12,2,50,0,0,6250,8
"21",16,1,6,2,7,10,1,1,2,328,4,0,1,2,1,22,10,2,3,4,2,0,0,0,4900,5
"22",46,1,1,1,7,10,1,1,2,1825,999,16,1,1,1,6,35.66,1,3,9,2,2300,1450,0,50000,11
"23",43,2,1,1,7,10,1,1,2,2086,999,12,1,1,1,5,26.4,1,1,13,2,2300,1200,950,52500,11
"24",53,2,3,1,7,10,1,1,2,1807,999,34,1,1,1,17,20.76,2,3,15,2,1650,0,0,40000,9
"25",24,2,6,2,7,10,1,1,2,0,997,1,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"26",19,1,6,1,7,10,1,1,2,2040,999,2,1,1,1,22,15,2,3,4,2,950,0,0,22000,5
"27",54,1,6,1,7,10,1,2,1,2138,999,34,1,1,1,6,30.17,1,1,11,1,2200,4500,0,55000,12
"28",27,1,6,1,7,10,1,1,2,2031,999,19.3311315269217,1,1,9,17,24.42,2,3,6,2,1300,575,0,28000,6
"29",42,1,1,2,7,10,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"30",30,2,1,4,7,10,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"31",58,1,4,4,7,10,2,1,2,0,240,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"32",68,1,1,3,7,10,1,2,2,0,127,42,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"33",65,2,1,4,7,10,1,2,2,0,500,1,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"34",72,2,1,3,7,10,1,2,2,1344.26571978103,999,13,1,9,9,99,999.99,2,3,99,9,0,75,0,0,10
"35",72,1,1,3,7,10,1,2,2,1344.26571978103,999,32,1,9,9,99,999.99,2,3,99,9,0,0,0,125,11
"36",80,2,1,4,7,10,1,2,2,1344.26571978103,999,20,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"37",80,1,1,3,7,10,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,2
"38",29,1,6,1,7,10,1,1,2,2086,999,6,1,1,1,22,24.96,2,3,6,2,2300,0,0,60000,11
"39",78,1,1,3,7,10,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"40",78,2,1,4,7,10,1,2,2,1344.26571978103,999,5,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
