@relation 'selecteddata2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,18'

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute mjacg26 {1,2,3,4}
@attribute immst15 {1,2,7}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute mtlswk28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute penpln1 {1,2}

@data
53,2,1,1,7,10,1,2,2,2086,999,32,1,1,1,5,24,3,12,1,1750,2800,450,40000,9,2
53,1,1,1,7,10,1,2,2,3129,999,19.331132,1,1,1,3,37.44,3,15,2,2300,0,0,105000,6,2
55,2,1,1,7,10,1,1,2,2086,999,35,1,1,1,12,15,3,6,2,1350,550,125,33000,10,2
57,1,1,1,7,10,1,1,2,2086,999,35,1,1,1,6,25.24,1,16,1,2100,3800,825,60000,9,1
37,2,1,1,7,10,1,1,2,1943,999,15,1,1,1,4,15.69,3,9,2,1500,525,0,34000,9,1
48,1,1,1,7,10,1,1,2,1955,999,30,1,1,1,9,25.6,1,12,1,2200,4200,625,57500,10,1
46,2,1,1,7,10,1,1,2,1955,999,29,1,1,1,12,76.8,3,6,2,2600,0,300,135000,11,1
23,2,6,1,7,10,2,1,2,1424,999,2,1,1,1,17,10.25,3,15,2,550,0,0,14000,9,2
51,2,1,1,7,10,1,1,2,1955,999,23,1,1,1,7,38.31,1,12,1,2600,5250,1500,82500,9,1
50,1,1,1,7,10,1,1,2,1955,999,26,1,1,1,10,46.08,1,11,1,2300,7000,1300,90000,11,1
46,1,1,1,7,10,1,1,2,1825,999,16,1,1,1,6,35.66,3,9,2,2300,1450,0,50000,11,1
43,2,1,1,7,10,1,1,2,2086,999,12,1,1,1,5,26.4,1,13,2,2300,1200,950,52500,11,1
53,2,3,1,7,10,1,1,2,1807,999,34,1,1,1,17,20.76,3,15,2,1650,0,0,40000,9,2
19,1,6,1,7,10,1,1,2,2040,999,2,1,1,1,22,15,3,4,2,950,0,0,22000,5,2
54,1,6,1,7,10,1,2,1,2138,999,34,1,1,1,6,30.17,1,11,1,2200,4500,0,55000,12,1
27,1,6,1,7,10,1,1,2,2031,999,19.331132,1,1,9,17,24.42,3,6,2,1300,575,0,28000,6,2
29,1,6,1,7,10,1,1,2,2086,999,6,1,1,1,22,24.96,3,6,2,2300,0,0,60000,11,2
31,2,6,1,7,10,1,2,1,868,999,5,1,2,2,10,39,1,11,1,1200,900,0,27000,11,1
29,2,2,1,2,48,1,1,2,2083,999,4,1,1,1,5,34.08,3,2,2,2200,0,0,70000,11,1
30,1,2,1,1,48,1,1,2,2086,999,9,1,1,1,3,48,3,2,2,2200,0,450,97500,11,1
40,2,1,1,7,10,1,1,1,1344.26572,999,19.331132,4,9,2,4,999.99,3,9,2,0,0,0,0,11,2
42,1,1,1,7,10,1,1,2,2086,999,15,4,9,1,6,999.99,3,9,2,0,0,0,0,12,2
29,2,1,1,7,10,1,1,2,2346,999,8,6,9,1,9,999.99,3,12,2,1600,0,0,4600,9,2
32,1,1,1,7,10,1,1,2,1955,999,9,1,1,1,9,29,1,13,2,2200,1450,975,62500,9,1
64,1,2,1,7,10,2,1,2,2007,999,44,1,9,1,23,28,3,2,2,2300,0,0,92500,4,1
51,2,2,1,7,10,2,1,2,2086,999,22,1,1,1,17,14.24,1,14,2,1250,0,275,30000,9,2
39,1,1,1,7,10,1,1,2,2086,999,20,1,1,1,14,18.53,1,14,2,1850,0,675,42000,9,1
37,1,1,1,7,10,1,1,2,2086,999,20,1,9,1,19,20.8,3,4,2,1500,0,425,33000,9,2
35,2,1,1,7,10,1,1,2,1809,999,7,1,1,1,4,19,3,16,1,1400,1750,0,32000,9,1
39,1,1,1,7,10,2,1,2,2065,999,17,1,9,1,21,22.3,1,4,2,2200,3400,550,52500,12,1
49,2,2,1,7,10,1,1,2,1955,999,25,1,9,1,6,44.54,1,16,1,2300,5500,1200,77500,10,1
