@relation selecteddata2_post1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R4

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}

@data
57,1,1,10,1,1,2,2086,35,1,1,1,6,25.24,1,16,1,2100,3800,825,60000,9
37,2,1,10,1,1,2,1943,15,1,1,1,4,15.69,3,9,2,1500,525,0,34000,9
48,1,1,10,1,1,2,1955,30,1,1,1,9,25.6,1,12,1,2200,4200,625,57500,10
46,2,1,10,1,1,2,1955,29,1,1,1,12,76.8,3,6,2,2600,0,300,135000,11
51,2,1,10,1,1,2,1955,23,1,1,1,7,38.31,1,12,1,2600,5250,1500,82500,9
50,1,1,10,1,1,2,1955,26,1,1,1,10,46.08,1,11,1,2300,7000,1300,90000,11
46,1,1,10,1,1,2,1825,16,1,1,1,6,35.66,3,9,2,2300,1450,0,50000,11
43,2,1,10,1,1,2,2086,12,1,1,1,5,26.4,1,13,2,2300,1200,950,52500,11
54,1,6,10,1,2,1,2138,34,1,1,1,6,30.17,1,11,1,2200,4500,0,55000,12
31,2,6,10,1,2,1,868,5,1,2,2,10,39,1,11,1,1200,900,0,27000,11
29,2,2,48,1,1,2,2083,4,1,1,1,5,34.08,3,2,2,2200,0,0,70000,11
30,1,2,48,1,1,2,2086,9,1,1,1,3,48,3,2,2,2200,0,450,97500,11
32,1,1,10,1,1,2,1955,9,1,1,1,9,29,1,13,2,2200,1450,975,62500,9
64,1,2,10,2,1,2,2007,44,1,9,1,23,28,3,2,2,2300,0,0,92500,4
39,1,1,10,1,1,2,2086,20,1,1,1,14,18.53,1,14,2,1850,0,675,42000,9
35,2,1,10,1,1,2,1809,7,1,1,1,4,19,3,16,1,1400,1750,0,32000,9
39,1,1,10,2,1,2,2065,17,1,9,1,21,22.3,1,4,2,2200,3400,550,52500,12
49,2,2,10,1,1,2,1955,25,1,9,1,6,44.54,1,16,1,2300,5500,1200,77500,10
31,1,6,10,1,1,2,1955,8,1,1,1,6,38.4,3,3,1,2400,5750,0,72500,11
27,2,6,10,1,1,2,1590,3,1,1,1,2,17.28,3,13,2,1250,0,0,29000,9
39,1,1,10,1,1,2,2086,22,1,1,1,9,72,3,9,2,2200,0,0,130000,11
42,2,1,10,1,1,2,1962,21,1,1,1,2,33.43,3,12,1,2100,4600,350,67500,11
25,2,2,10,1,1,2,1426,1,1,1,1,7,34.91,1,12,1,1950,2300,575,40000,11
29,1,2,10,1,1,2,2086,8,1,1,1,6,24,3,2,2,1950,0,0,41000,11
52,2,1,10,1,1,2,1564,24,1,1,1,13,18.56,3,6,2,1300,1450,0,29000,6
47,2,6,10,1,1,2,1825,30,1,1,1,4,19.75,1,11,1,1750,3300,650,40000,10
50,2,6,10,2,1,2,1825,30,1,1,1,3,23,1,16,1,1800,2700,575,38000,9
64,2,1,10,1,2,2,2086,18,1,1,1,4,25.92,3,9,2,2100,0,0,52500,9
50,1,1,10,1,2,2,2086,27,1,1,1,99,120,3,2,2,2100,0,0,260000,12
52,2,1,10,1,2,2,1695,30,1,1,1,6,32.49,1,16,1,2100,2600,750,46000,10
53,2,1,10,1,2,1,2064,28,1,9,1,7,40.96,1,12,1,2300,4000,0,85000,11
37,2,6,10,1,1,2,1825,19,1,1,1,99,68.57,3,15,2,2200,0,0,105000,11
38,1,6,10,1,1,2,1961,19,1,2,1,11,25.95,1,16,1,2200,3300,0,49000,10
44,1,2,10,1,1,2,1955,19.331132,1,1,1,12,66.56,3,8,2,2200,0,0,130000,9
36,2,1,10,1,1,2,1825,14,1,1,1,6,34.56,2,16,1,2300,4700,200,62500,9
24,2,3,10,1,2,2,1035,2,1,1,1,8,27.16,1,12,1,1250,1850,325,30000,9
29,1,3,10,2,1,2,1955,8,1,1,1,99,18.94,2,14,2,1800,0,0,40000,11
30,2,1,10,1,1,2,1825,7,1,2,1,9,24.14,2,11,1,2000,3700,0,44000,12
50,2,1,10,1,1,2,1825,30,1,1,1,5,29.07,1,11,1,2300,4400,775,57500,11
40,1,1,10,1,1,2,2086,19.331132,1,1,1,24,22.56,1,5,2,2200,2500,625,49000,9
38,1,6,10,1,2,2,2086,13,1,1,1,13,19.68,3,6,2,2100,5250,0,50000,6
35,1,2,10,1,1,2,2086,12,1,1,1,17,21.6,3,6,2,1650,3900,0,37000,6
28,1,6,10,1,1,2,3802,4,1,1,1,2,28.5,3,12,1,425,775,0,11000,9
34,2,6,10,2,1,2,1955,16,1,1,1,5,19.16,1,12,1,2200,2600,550,48000,6
33,2,1,35,1,1,1,2025,8,1,1,1,1,36.86,1,16,1,2300,4400,825,67500,11
61,2,3,10,1,2,1,2815,37,1,1,1,4,21.94,1,16,1,2200,2700,625,49000,9
61,2,1,10,1,1,2,1955,39,1,1,1,17,19.34,1,12,2,1650,2700,600,39000,5
58,1,1,48,1,1,2,2086,37,1,1,1,6,34.56,3,2,2,2300,0,0,92500,1
60,1,1,10,1,1,2,1832,35,1,1,1,20,18,3,15,2,0,0,0,28000,3
48,1,1,10,1,1,2,1952,19.331132,1,1,1,20,21,3,15,2,2100,750,0,43000,9
40,2,1,10,1,1,2,2086,23,1,1,1,10,26.88,1,11,1,2300,6250,900,62500,11
46,2,6,10,1,1,2,1955,19,1,1,1,4,12.67,3,8,2,1500,0,0,33000,9
56,2,1,10,1,1,2,1955,34,1,1,1,7,38.06,1,12,1,2100,5250,1300,80000,11
52,2,1,10,1,1,2,1825,32,1,1,1,10,38.95,1,11,1,2200,6250,650,82500,11
54,2,1,10,1,1,1,1219,13,1,1,2,8,23.85,1,12,2,1300,1400,725,31000,9
49,1,1,10,1,1,2,1955,31,1,1,1,5,39.94,1,16,1,2100,6500,100,82500,9
66,1,6,10,1,2,2,417,19.331132,1,2,1,6,27,1,16,1,0,575,400,28000,9
53,1,1,10,1,1,2,2086,35,1,1,1,20,31.2,1,16,1,2200,4800,800,67500,9
50,2,1,10,1,1,2,1825,34,1,1,1,12,41.14,3,8,2,2100,0,0,87500,9
40,2,1,10,1,1,2,777,8,1,1,2,16,17.8,1,11,1,525,925,225,16000,12
30,2,1,10,1,1,2,2080,7,1,2,1,5,23,1,16,1,1950,300,650,45000,6
37,2,2,10,1,1,1,1911,13,1,1,1,6,26.88,3,8,2,2300,1500,0,55000,9
50,2,1,10,1,1,2,2086,30,1,1,1,5,27.32,3,6,1,2200,4100,0,55000,9
53,1,1,10,1,1,2,1825,33,1,1,1,9,41.14,1,16,1,2300,5750,625,75000,12
21,2,6,10,1,1,2,2346,3,1,1,1,8,13.88,1,12,1,1700,1650,600,36000,9
53,2,6,10,1,2,2,1955,30,1,9,1,2,48.64,1,11,1,2200,2200,0,95000,12
26,2,6,10,1,1,2,1825,19.331132,1,1,1,11,22,1,13,2,2200,0,1000,50000,10
49,1,1,10,1,1,2,1304,19.331132,1,1,2,10,48.92,1,11,1,2200,8250,1050,85000,12
44,2,1,10,1,1,2,1955,19.331132,1,1,1,5,22.75,3,8,2,2400,0,0,87500,12
39,1,1,10,1,1,2,2086,17,1,1,1,15,36,1,16,1,2400,5500,1000,75000,6
37,2,1,10,1,1,2,2086,15,1,1,1,13,20.4,3,6,2,2300,1350,0,52500,9
46,2,1,10,1,1,2,2040,28,1,1,1,4,19.2,3,8,2,2000,0,0,47000,8
52,1,1,10,1,1,2,2607,34,1,1,1,99,8.66,3,8,2,2300,0,0,270000,9
35,2,1,10,1,1,2,1825,11,1,1,1,10,32.91,1,11,1,2100,4800,675,50000,12
28,2,6,10,1,1,2,1929,19.331132,1,2,1,7,32,1,12,1,2300,4400,825,72500,11
53,1,1,35,1,2,2,2086,29,1,1,1,6,120,3,4,2,2300,13000,325,430000,12
55,2,1,10,1,2,2,2086,32,1,1,1,5,34.56,3,2,2,2100,1650,0,70000,9
55,1,1,10,1,2,2,2086,33,1,1,1,99,78.3,3,2,2,2100,13500,0,220000,11
31,1,6,10,1,2,2,88,19.331132,1,1,9,21,25.57,3,2,2,0,675,0,1950,9
47,1,1,10,1,2,2,2190,17,1,1,1,6,45.71,1,16,1,2200,5750,1100,100000,11
48,1,1,10,1,1,2,2031,19.331132,1,1,9,3,51.2,3,6,2,2200,5250,975,125000,9
49,2,1,10,1,1,2,1173,28,1,1,2,7,34.13,1,12,1,2100,2100,1500,60000,10
33,2,3,10,1,1,2,2086,19.331132,1,1,1,5,19.68,3,2,2,2100,0,0,48000,9
47,1,1,10,1,1,2,2086,20,1,1,1,3,24,3,8,2,2300,0,0,57500,9
52,2,1,10,1,1,2,1825,29,1,1,1,8,36.75,1,12,1,2300,5250,800,67500,11
33,1,1,10,1,1,2,1955,13,1,1,1,6,38.4,1,16,1,2300,4900,675,77500,9
41,2,4,10,1,1,2,2086,17,1,1,1,10,26.4,1,11,1,2100,9000,900,75000,12
31,2,1,10,1,1,2,2089,10,1,1,1,5,24.96,3,2,2,2200,0,0,50000,9
34,1,1,10,1,1,2,1564,1,1,1,1,22,38.4,1,7,2,2200,3300,1400,57500,6
23,1,6,12,2,1,2,2216,2,1,2,1,21,25.3,3,16,1,2900,3100,0,62500,8
55,1,1,10,1,1,2,1825,34,1,1,1,10,31.2,1,11,1,2100,4400,825,52500,9
26,1,6,10,1,1,2,2086,3,1,1,1,15,40,1,16,1,2400,5250,1100,72500,10
42,2,1,35,1,1,2,1825,13,1,1,1,99,65.28,3,16,1,2200,9000,0,110000,12
44,1,1,35,1,1,2,2086,19,1,1,1,99,115.2,3,8,2,2100,0,0,420000,12
36,1,4,10,1,1,2,2086,19.331132,1,1,1,2,21.6,3,6,2,2200,0,0,45000,9
31,1,1,10,1,1,2,1095,19.331132,1,1,1,99,100.57,3,2,2,2200,0,0,135000,4
46,2,1,10,1,1,2,1955,26,1,1,1,3,28.77,3,8,2,2100,0,0,65000,9
48,1,1,10,1,1,1,2023,26,1,1,1,6,40.96,1,16,1,2200,4500,1150,72500,9
49,1,1,10,1,1,2,1955,25,1,1,1,6,48.64,1,16,1,2200,5500,600,92500,11
47,1,1,10,2,1,2,2086,26,1,1,1,15,40.8,1,16,1,2200,7750,1100,115000,9
42,2,1,10,2,1,2,2086,23,1,1,1,99,39.36,1,16,1,2300,7250,1100,115000,9
28,2,6,10,1,2,2,1757,19.331132,1,1,9,5,12,3,8,2,1050,0,0,26000,8
43,1,1,10,1,1,2,1825,19.331132,1,1,1,15,31.82,1,16,1,2200,1750,575,55000,11
48,2,1,10,1,1,2,2086,29,1,9,1,3,45.13,1,15,2,2100,5250,1300,80000,9
37,2,1,10,1,1,2,1825,14,1,1,1,12,31.27,3,99,2,2200,0,0,90000,11
